_id,ground_state.globular_volume,ground_state.homo_lumo_gap,ground_state.dipole_moment,ground_state.solvation_energy,cation1.globular_volume,cation1.homo_lumo_gap,cation1.dipole_moment,cation1.solvation_energy,cation2.globular_volume,cation2.homo_lumo_gap,cation2.dipole_moment,cation2.solvation_energy
90DCKT,,,,,152.256,8.241788832000001,0.7300184175758856,-1.8291061711079237,,5.532893961999999,3.580153808148471,
90OBIW,,,,,153.528,8.225734105999999,1.0317297902067188,-1.763058606606137,,6.422162514000002,3.8157514738253067,
90FROE,,,,,173.064,7.243130452000001,0.9135501464068626,-2.9497496654057613,,5.135879636,1.9776499639723912,
90QEKX,,,,,119.48,8.755812178,2.5153693227834357,-1.9553224132032483,,6.431958618000001,5.399202939323544,
90DLRB,,,,,153.608,8.172671875999999,0.17055386245992787,-1.7605016329816863,,5.6379299660000015,2.7589636423845825,
90TBUO,,,,,183.592,8.106548174,1.3844046807202006,-1.7201310448472213,,6.750876226000001,0.03170567772497538,
90RJHF,,,,,143.984,8.953366942,1.620708789388149,-1.8176417905979179,,6.994146142,5.250029894200604,
90KXKL,,,,,154.36,8.613768669999999,0.8851881156002943,-1.7760917243267613,,4.324163573999998,4.213365183555776,
90ZYYG,,,,,168.104,7.128570457999999,1.4632806531899478,-1.780660300695672,,5.35248238,6.476852202266159,
90SGSN,,,,,172.184,7.563952857999999,0.8334079493261388,-1.7001379040775646,,4.82186008,2.2278007922612826,
90LNDO,,,,,195.344,8.057839768,5.66276841571329,-1.719305260488909,,6.844755555999999,3.2341392440647945,
90GEWU,,,,,173.136,6.9525127,0.4030220093245529,-1.6805748939095793,,3.1869991680000016,0.4238251880197778,
90FZWF,,,,,117.808,8.940577584,1.9730307701604655,-1.9547203881884343,,6.006644436,2.1699688200524907,
90UXRF,,,,,144.704,8.294034719999999,1.842747210010098,-1.8306758607177471,,5.62051467,4.497226221794941,
90SZNF,,,,,132.2,7.045847802000001,4.7733960552210615,-1.905789556203672,,5.155471844000003,7.576121942656415,
90KQVF,,,,,145.512,7.119590696000001,2.0297293637330074,-1.8176905262153014,,4.169058593999999,4.71203637825516,
90ILLD,,,,,142.208,9.543310094,7.01065484887111,-1.8980448380170856,,7.510074286,8.433868879108806,
90WPIO,,,,,128.448,7.144625184000001,2.3177937548453267,-1.8828004947190493,,4.692605929999997,4.077713587293742,
90WBUK,,,,,147.808,8.105187604000001,9.435756551013808,-1.8428474382963032,,5.782694614,13.159061387880216,
90HAKS,,,,,96.488,10.467137124,1.4918973054469935,-2.1417171289876933,,10.52264838,1.9038579621389826,
